Date,Close,LSTM_Prediction,Position
2016-03-31,48.70719528198242,50.293957,2
2016-04-01,49.00703430175781,50.42982,2
2016-04-04,48.883575439453125,50.586468,2
2016-04-05,48.116310119628906,50.743107,2
2016-04-06,48.61017608642578,50.85305,2
2016-04-07,48.02812194824219,50.949795,2
2016-04-08,47.99284744262695,51.00358,2
2016-04-11,47.89585113525391,51.023468,2
2016-04-12,48.1956787109375,51.01459,2
2016-04-13,48.8130111694336,51.00192,2
2016-04-14,48.82184982299805,51.018776,2
2016-04-15,49.07759475708008,51.05597,2
2016-04-18,49.79191970825195,51.118176,2
2016-04-19,49.73019027709961,51.23017,2
2016-04-20,49.02467346191406,51.367455,2
2016-04-21,49.19223403930664,51.4793,2
2016-04-22,45.66464614868164,51.575798,2
2016-04-25,45.95567321777344,51.479816,2
2016-04-26,45.36479949951172,51.270737,2
2016-04-27,44.9238510131836,50.96621,2
2016-04-28,44.00668716430664,50.591072,2
2016-04-29,43.98022079467773,50.142334,2
2016-05-02,44.63282775878906,49.666183,2
2016-05-03,43.90084457397461,49.22981,2
2016-05-04,43.98022079467773,48.807823,2
2016-05-05,44.04195022583008,48.421886,2
2016-05-06,44.43880844116211,48.083942,2
2016-05-09,44.1566047668457,47.816147,2
2016-05-10,44.9943962097168,47.59592,2
2016-05-11,45.0208740234375,47.460865,2
2016-05-12,45.426536560058594,47.391922,2
2016-05-13,45.04731369018555,47.391174,2
2016-05-16,45.70874786376953,47.417263,2
2016-05-17,44.85619735717773,47.49222,2
2016-05-18,45.12262725830078,47.553345,2
2016-05-19,44.68746566772461,47.61399,2
2016-05-20,44.953895568847656,47.648808,2
2016-05-23,44.42992782592773,47.67689,2
2016-05-24,45.81531524658203,47.672558,2
2016-05-25,46.285980224609375,47.71529,2
2016-05-26,46.08173751831055,47.81203,2
2016-05-27,46.463600158691406,47.93062,2
2016-05-31,47.06746673583984,48.076782,2
2016-06-01,46.93427276611328,48.26422,2
2016-06-02,46.60568237304688,48.46338,2
