Date,Close,LSTM_Prediction,Position
2016-03-31,0.8722740411758423,0.6568949,-2
2016-04-01,0.8850044012069702,0.6639594,-2
2016-04-04,0.8764358162879944,0.6711582,-2
2016-04-05,0.8752118945121765,0.6771354,-2
2016-04-06,0.8764358162879944,0.6818055,-2
2016-04-07,0.8673776984214783,0.68543094,-2
2016-04-08,0.8730083107948303,0.6874108,-2
2016-04-11,0.8783942461013794,0.6887352,-2
2016-04-12,0.8774151802062988,0.6900174,-2
2016-04-13,0.8994483947753906,0.69109094,-2
2016-04-14,0.901896595954895,0.69376594,-2
2016-04-15,0.9089964032173156,0.69735014,-2
2016-04-18,0.9050791263580322,0.7017438,-2
2016-04-19,0.8889215588569641,0.70591915,-2
2016-04-20,0.8923489451408386,0.70828843,-2
2016-04-21,0.8913695216178894,0.7096934,-2
2016-04-22,0.8879421353340149,0.7103477,-2
2016-04-25,0.8923489451408386,0.710234,-2
2016-04-26,0.8930832743644714,0.7100478,-2
2016-04-27,0.9134027361869812,0.70989954,-2
2016-04-28,0.8862282037734985,0.7114568,-2
2016-04-29,0.8698256015777588,0.71164185,-2
2016-05-02,0.8813321590423584,0.70965916,-2
2016-05-03,0.8708052635192871,0.7075349,-2
2016-05-04,0.8509753346443176,0.70464337,-2
2016-05-05,0.8561164140701294,0.6999186,-2
2016-05-06,0.8649296760559082,0.69494534,-2
2016-05-09,0.863705575466156,0.6909736,-2
2016-05-10,0.8803530335426331,0.68781424,-2
2016-05-11,0.8828010559082031,0.686754,-2
2016-05-12,0.8708052635192871,0.6872009,-2
2016-05-13,1.0032496452331543,0.6874937,-2
2016-05-16,1.032872200012207,0.69855785,-2
2016-05-17,1.035076141357422,0.7173962,-2
2016-05-18,1.0615155696868896,0.73933667,-2
2016-05-19,1.066167235374451,0.76340526,-2
2016-05-20,1.0852627754211426,0.7870834,-2
2016-05-23,1.086976170539856,0.8101307,-2
2016-05-24,1.1133620738983154,0.8310404,-2
2016-05-25,1.108699083328247,0.85114205,-2
2016-05-26,1.120480179786682,0.86873055,-2
2016-05-27,1.126616358757019,0.88436884,-2
2016-05-31,1.146743655204773,0.89808804,-2
2016-06-01,1.1489524841308594,0.9112135,-2
2016-06-02,1.157052516937256,0.92309016,-2
2016-06-03,1.140852451324463,0.93392205,-2
2016-06-06,1.1349620819091797,0.9419173,-2
2016-06-07,1.137170910835266,0.9471177,-2
2016-06-08,1.1334887742996216,0.9504518,-2
2016-06-09,1.162942886352539,0.9521282,-2
2016-06-10,1.1339800357818604,0.9551343,-2
2016-06-13,1.1484616994857788,0.9562831,-2
2016-06-14,1.1506701707839966,0.957447,-2
2016-06-15,1.1624523401260376,0.9587081,-2
2016-06-16,1.1671158075332642,0.9608911,-2
2016-06-17,1.146743655204773,0.9638123,-2
2016-06-20,1.1673611402511597,0.965242,-2
2016-06-21,1.160243034362793,0.96738213,-2
2016-06-22,1.1592614650726318,0.9691757,-2
2016-06-23,1.1901878118515017,0.9705377,-2
2016-06-24,1.1224433183670044,0.9740837,-2
2016-06-27,1.1104167699813845,0.97303015,-2
2016-06-28,1.126616358757019,0.96840197,-2
2016-06-29,1.145025372505188,0.9634279,-2
2016-06-30,1.15386164188385,0.9601934,-2
2016-07-01,1.1452703475952148,0.9589672,-2
2016-07-05,1.1622068881988523,0.958299,-2
2016-07-06,1.1695704460144043,0.9593988,-2
2016-07-07,1.2000062465667725,0.9620382,-2
2016-07-08,1.2481141090393066,0.9678514,-2
2016-07-11,1.2768319845199585,0.9789783,-2
2016-07-12,1.2959771156311035,0.99462014,-2
2016-07-13,1.2954860925674438,1.0131432,-2
2016-07-14,1.308740258216858,1.0317488,-2
2016-07-15,1.2935227155685425,1.0499357,-2
2016-07-18,1.300149917602539,1.0651162,-2
2016-07-19,1.3136495351791382,1.0778371,-2
2016-07-20,1.3308312892913818,1.0891922,-2
2016-07-21,1.3062858581542969,1.1002312,-2
2016-07-22,1.341876745223999,1.1081566,-2
2016-07-25,1.3666667938232422,1.1165441,-2
2016-07-26,1.3899846076965332,1.1265506,-2
2016-07-27,1.3759939670562744,1.1385844,-2
2016-07-28,1.3789393901824951,1.1496367,-2
2016-07-29,1.4015204906463623,1.1594367,-2
2016-08-01,1.392438888549805,1.1695544,-2
2016-08-02,1.3755033016204834,1.17827,-2
2016-08-03,1.3791850805282593,1.1840535,-2
2016-08-04,1.404711365699768,1.187961,-2
2016-08-05,1.428520441055298,1.1925635,-2
2016-08-08,1.4417744874954224,1.1991537,-2
2016-08-09,1.4454561471939087,1.207439,-2
2016-08-10,1.4361292123794556,1.216318,-2
2016-08-11,1.465337872505188,1.2240313,-2
2016-08-12,1.5473177433013916,1.2328275,-2
2016-08-15,1.545845627784729,1.248276,-2
2016-08-16,1.5365185737609863,1.2661756,-2
2016-08-17,1.5009279251098633,1.2832283,-2
2016-08-18,1.5242457389831543,1.2954307,-2
2016-08-19,1.5281729698181152,1.3057263,-2
2016-08-22,1.5345542430877686,1.3143955,-2
2016-08-23,1.546972632408142,1.3219335,-2
2016-08-24,1.5231200456619265,1.3292176,-2
2016-08-25,1.5130382776260376,1.333788,-2
2016-08-26,1.5253331661224363,1.335574,-2
2016-08-29,1.5243496894836426,1.3366158,-2
2016-08-30,1.515496850013733,1.3370655,-2
2016-08-31,1.5083658695220947,1.3364084,-2
2016-09-01,1.5528743267059326,1.3345792,-2
