Date,Close,Position
2016-01-04,23.753154754638672,0
2016-01-05,23.15791130065918,0
2016-01-06,22.70472526550293,0
2016-01-07,21.74647331237793,0
2016-01-08,21.861469268798828,0
2016-01-11,22.215452194213867,0
2016-01-12,22.53786849975586,0
2016-01-13,21.958415985107425,0
2016-01-14,22.43866729736328,0
2016-01-15,21.899799346923828,0
2016-01-19,21.79382705688477,0
2016-01-20,21.823139190673828,0
2016-01-21,21.71265983581543,0
2016-01-22,22.867053985595703,0
2016-01-25,22.42063331604004,0
2016-01-26,22.544633865356445,0
2016-01-27,21.06330680847168,0
2016-01-28,21.214370727539062,0
2016-01-29,21.94715118408203,0
2016-02-01,21.74197006225586,0
2016-02-02,21.302305221557617,-2
2016-02-03,21.72393226623535,0
2016-02-04,21.898481369018555,0
2016-02-05,21.313615798950195,0
2016-02-08,21.538047790527344,0
2016-02-09,21.533510208129883,0
2016-02-10,21.370288848876957,0
2016-02-11,21.24106979370117,0
2016-02-12,21.30681800842285,0
2016-02-16,21.907554626464844,0
2016-02-17,22.24305725097656,0
2016-02-18,21.821420669555664,0
2016-02-19,21.77153778076172,0
2016-02-22,21.96195602416992,0
2016-02-23,21.46550178527832,0
2016-02-24,21.78513526916504,0
2016-02-25,21.93475341796875,0
2016-02-26,21.968765258789062,0
2016-02-29,21.91887855529785,0
2016-03-01,22.789384841918945,0
2016-03-02,22.83926010131836,0
2016-03-03,23.009281158447266,0
2016-03-04,23.35158348083496,0
2016-03-07,23.09315490722656,0
2016-03-08,22.902732849121094,2
2016-03-09,22.923133850097656,0
2016-03-10,22.934471130371094,0
2016-03-11,23.181564331054688,0
2016-03-14,23.24050521850586,0
2016-03-15,23.70748710632324,0
2016-03-16,24.022600173950195,0
2016-03-17,23.98405647277832,0
2016-03-18,24.011260986328125,0
2016-03-21,24.008989334106445,0
2016-03-22,24.192609786987305,0
2016-03-23,24.05885887145996,0
2016-03-24,23.95458602905273,0
2016-03-28,23.84576797485352,0
2016-03-29,24.41024208068848,0
2016-03-30,24.83641624450684,0
2016-03-31,24.707202911376957,0
2016-04-01,24.93389320373535,0
2016-04-04,25.190059661865234,0
2016-04-05,24.893091201782227,0
2016-04-06,25.153785705566406,0
2016-04-07,24.605194091796875,0
2016-04-08,24.63239288330078,0
2016-04-11,24.71400451660156,0
2016-04-12,25.035907745361328,0
2016-04-13,25.398616790771484,0
2016-04-14,25.41221809387207,0
2016-04-15,24.90215492248535,0
2016-04-18,24.364900588989254,0
2016-04-19,24.235685348510746,0
2016-04-20,24.285552978515625,0
2016-04-21,24.022600173950195,0
2016-04-22,23.956850051879883,0
2016-04-25,23.82083511352539,0
2016-04-26,23.655353546142575,0
2016-04-27,22.175046920776367,0
2016-04-28,21.497238159179688,0
2016-04-29,21.25014877319336,0
2016-05-02,21.227479934692383,0
2016-05-03,21.576583862304688,0
2016-05-04,21.35215377807617,0
2016-05-05,21.26548767089844,-2
2016-05-06,21.14688873291016,0
2016-05-09,21.1628532409668,0
2016-05-10,21.306547164916992,0
2016-05-11,21.09900283813477,0
2016-05-12,20.604082107543945,0
2016-05-13,20.645132064819336,0
2016-05-16,21.411453247070312,0
2016-05-17,21.322511672973636,0
2016-05-18,21.566545486450195,0
2016-05-19,21.48443984985352,0
2016-05-20,21.71707344055176,0
2016-05-23,21.993040084838867,0
2016-05-24,22.328310012817383,0
2016-05-25,22.720590591430664,0
2016-05-26,22.90077018737793,0
2016-05-27,22.887086868286133,0
2016-05-31,22.77532768249512,0
2016-06-01,22.456029891967773,0
2016-06-02,22.287248611450195,0
2016-06-03,22.33287048339844,0
2016-06-06,22.49479484558105,0
2016-06-07,22.58602905273437,0
2016-06-08,22.565505981445312,0
2016-06-09,22.727434158325195,0
2016-06-10,22.54041290283203,0
2016-06-13,22.200590133666992,0
2016-06-14,22.227956771850582,0
2016-06-15,22.154972076416016,0
2016-06-16,22.248485565185547,0
2016-06-17,21.742158889770508,0
2016-06-20,21.689699172973636,0
2016-06-21,21.87444496154785,0
2016-06-22,21.792341232299805,0
2016-06-23,21.917774200439453,2
2016-06-24,21.301984786987305,0
2016-06-27,20.991804122924805,-2
2016-06-28,21.34531593322754,0
2016-06-29,21.53005027770996,0
2016-06-30,21.80373954772949,2
2016-07-01,21.869888305664062,0
2016-07-05,21.66461563110352,0
2016-07-06,21.787771224975582,0
2016-07-07,21.881288528442383,0
2016-07-08,22.05005645751953,0
2016-07-11,22.118486404418945,-2
2016-07-12,22.21883201599121,0
2016-07-13,22.0933837890625,0
2016-07-14,22.531288146972656,0
2016-07-15,22.52901077270508,0
2016-07-18,22.76848793029785,0
2016-07-19,22.777612686157227,0
2016-07-20,22.79813575744629,0
2016-07-21,22.6772575378418,0
2016-07-22,22.501644134521484,0
2016-07-25,22.200590133666992,2
2016-07-26,22.047779083251957,0
2016-07-27,23.48007202148437,0
2016-07-28,23.797088623046875,0
2016-07-29,23.76744270324707,0
2016-08-01,24.187105178833008,0
2016-08-02,23.829025268554688,0
2016-08-03,24.12779998779297,0
2016-08-04,24.2768497467041,0
2016-08-05,24.64603805541992,0
2016-08-08,24.850120544433597,0
2016-08-09,24.95101547241211,0
2016-08-10,24.765275955200195,0
2016-08-11,24.749217987060547,0
2016-08-12,24.80655288696289,0
2016-08-15,25.10465240478516,0
2016-08-16,25.08171844482422,0
2016-08-17,25.045032501220703,0
2016-08-18,25.0129337310791,0
2016-08-19,25.077131271362305,0
2016-08-22,24.882221221923828,0
2016-08-23,24.960180282592773,0
2016-08-24,24.772151947021484,0
2016-08-25,24.66667366027832,0
2016-08-26,24.52220916748047,0
2016-08-29,24.494691848754883,0
2016-08-30,24.306655883789062,0
2016-08-31,24.32958602905273,0
2016-09-01,24.474056243896484,0
2016-09-02,24.703367233276367,0
2016-09-06,24.69648551940918,0
2016-09-07,24.847827911376957,0
2016-09-08,24.19659423828125,0
2016-09-09,23.64854431152344,0
2016-09-12,24.17825126647949,0
2016-09-13,24.75381088256836,0
2016-09-14,25.6297664642334,0
2016-09-15,26.50114250183105,0
2016-09-16,26.35208511352539,0
2016-09-19,26.044811248779297,0
2016-09-20,26.04252243041992,0
2016-09-21,26.037940979003903,0
2016-09-22,26.28329467773437,0
2016-09-23,25.845319747924805,0
2016-09-26,25.88429450988769,0
2016-09-27,25.93244743347168,0
2016-09-28,26.129657745361328,0
2016-09-29,25.723787307739254,0
