Date,AAPL,AMZN,BA,BAC,CVX,DIS,GOOGL,JNJ,JPM,META,MMM,MSFT,NKE,NVDA,PEP,PFE,PG,TSLA,WMT,XOM
2016-01-04,23.753154754638672,31.84950065612793,126.00511932373047,13.196473121643066,57.92344665527344,94.92047119140625,37.6872444152832,76.17363739013672,48.64884948730469,101.51091766357422,88.27362823486328,47.98345947265625,54.148338317871094,0.7895877957344055,73.06654357910156,19.37068748474121,59.10752868652344,14.894000053405762,17.07491111755371,49.985347747802734
2016-01-05,23.15791130065918,31.68950080871582,126.51632690429688,13.196473121643066,58.418922424316406,93.00325775146484,37.79096221923828,76.49203491210938,48.73296356201172,102.01737976074219,88.65843963623047,48.202354431152344,54.90528106689453,0.8022720217704773,73.569580078125,19.510133743286133,59.29610061645508,14.895333290100098,17.48052215576172,50.4112548828125
2016-01-06,22.70472526550293,31.63249969482422,124.50738525390625,12.91535472869873,56.111106872558594,92.5054931640625,37.68178939819336,76.10538482666016,48.029441833496094,102.25572204589844,86.87275695800781,47.326744079589844,54.121925354003906,0.769098162651062,73.59178161621094,19.164552688598633,58.722900390625,14.602666854858398,17.65555191040039,49.991790771484375
2016-01-07,21.74647331237793,30.39699935913086,119.2878189086914,12.449502944946289,54.122737884521484,91.71280670166016,36.77216339111328,75.2184066772461,46.08717727661133,97.24073791503906,84.75640869140625,45.680599212646484,52.67844009399414,0.7386074066162109,72.1788330078125,19.037233352661133,58.210025787353516,14.376667022705078,18.066726684570312,49.19162368774414
2016-01-08,21.861469268798828,30.352500915527344,116.57939147949219,12.208541870117188,53.542510986328125,91.48238372802734,36.27144241333008,74.41484832763672,45.05485534667969,96.65483856201172,84.46781921386719,45.82070541381836,51.81586837768555,0.7227520942687988,71.91251373291016,18.794715881347656,57.29743194580078,14.066666603088379,17.652780532836914,48.19784927368164
2016-01-11,22.215452194213867,30.886999130249023,116.77668762207031,12.296896934509277,52.65591049194336,92.09994506835938,36.37863540649414,73.96753692626953,44.98602294921875,96.8335952758789,84.44977569580078,45.79443359375,52.41439437866211,0.7239717245101929,72.08263397216797,18.837160110473633,57.82538986206055,13.856666564941406,17.841690063476562,47.55253982543945
2016-01-12,22.53786849975586,30.894500732421875,118.31027221679688,12.296896934509277,53.555580139160156,93.51942443847656,36.98752975463867,74.4754867553711,45.0854377746582,98.6806869506836,84.69026184082031,46.21472930908203,52.757659912109375,0.7361680269241333,72.21581268310547,18.794715881347656,57.7047119140625,13.998000144958496,17.674999237060547,48.526954650878906
2016-01-13,21.958415985107422,29.090499877929688,114.90229797363281,11.967583656311035,53.02099609375,90.77263641357422,35.70869827270508,73.55059814453125,43.846649169921875,94.7779541015625,83.40363311767578,45.21653366088867,51.73665237426758,0.713726818561554,71.38729095458984,18.412761688232422,57.206932067871094,13.354000091552734,17.20270347595215,48.81734848022461
2016-01-14,22.43866729736328,29.649999618530273,115.87089538574219,12.039871215820312,55.719947814941406,91.35334777832031,36.295265197753906,74.9682388305664,44.504276275634766,97.6876220703125,84.88267517089844,46.5036735534668,51.4990119934082,0.6993350982666016,70.8768081665039,18.861412048339844,57.433204650878906,13.745332717895508,17.51941680908203,51.05653381347656
2016-01-15,21.899799346923828,28.509000778198242,112.66919708251953,11.614178657531738,54.54649353027344,86.55108642578125,35.25810241699219,73.53544616699219,43.61725616455078,94.31120300292969,83.38558197021484,44.64738464355469,50.6628532409668,0.6612828373908997,69.48609161376953,18.679527282714844,56.5507698059082,13.666000366210938,17.205480575561523,50.06277084350586
2016-01-19,21.793827056884766,28.724000930786133,113.0548324584961,11.437478065490723,53.13832473754883,86.61560821533203,35.68437576293945,73.91448211669922,43.59431076049805,94.59920501708984,83.20520782470703,44.270870208740234,51.33177947998047,0.6666492819786072,70.84723663330078,18.606773376464844,57.87063980102539,13.64799976348877,17.380502700805664,49.30131149291992
2016-01-20,21.823139190673828,28.588499069213867,109.53925323486328,10.995722770690918,51.488975524902344,85.29752349853516,35.658573150634766,72.58782958984375,42.44729232788086,93.69550323486328,82.3454360961914,44.472251892089844,51.96550369262695,0.6703080534934998,69.36772155761719,18.588584899902344,57.690345764160156,13.24666690826416,16.902652740478516,47.22343063354492
2016-01-21,21.71265983581543,28.750999450683594,110.66925811767578,10.730669021606445,52.83845901489258,86.66169738769531,36.06103515625,72.73185729980469,42.24847412109375,93.5068359375,82.82643127441406,44.20082473754883,53.303367614746094,0.6781137585639954,69.88554382324219,18.540081024169922,58.3674430847168,13.33133316040039,17.19158935546875,47.817115783691406
2016-01-22,22.867053985595703,29.819000244140625,111.7544174194336,10.891305923461914,54.46174240112305,89.31629943847656,36.99348449707031,73.34590911865234,43.54843521118164,97.26060485839844,83.88462829589844,45.785682678222656,53.585025787353516,0.6939689517021179,70.90642547607422,18.618898391723633,58.85435104370117,13.50333309173584,17.4166316986084,49.4110221862793
2016-01-25,22.42063331604004,29.826499938964844,111.21631622314453,10.409390449523926,52.73413848876953,87.83232116699219,36.40592956542969,73.08058166503906,42.56199264526367,96.33705139160156,82.7121810913086,45.347877502441406,53.426597595214844,0.6932368874549866,70.9729995727539,18.491579055786133,58.46632766723633,13.092000007629395,17.627771377563477,47.73967742919922
2016-01-26,22.544633865356445,30.0625,114.80365753173828,10.690510749816895,54.8398551940918,88.7356185913086,36.41436004638672,76.70429229736328,43.647850036621094,96.66475677490234,87.04713439941406,45.680599212646484,53.7874641418457,0.700066864490509,71.25413513183594,18.594642639160156,59.957481384277344,12.904000282287598,17.780569076538086,49.49490737915039
